,BikeTypeCat,AgeBandCat,IncomeBandCat,MaritalStatusCat,GenderCat,ChildrenAtHomeCat,CountryRegionCodeCat,HouseOwnerFlagCat,EducationCat,OccupationCat,CommuteDistanceCat
54,1,2,0,1,1,0,3,0,2,2,3
55,1,4,2,1,1,1,2,1,2,3,4
56,1,5,0,0,0,0,0,0,3,0,4
57,1,2,1,1,0,0,5,0,3,3,4
58,1,3,1,1,0,0,5,0,1,1,1
59,1,5,3,1,1,1,4,0,2,1,0
60,0,5,0,1,0,0,0,1,2,4,4
61,1,4,2,1,1,1,5,0,0,1,3
62,1,4,2,0,1,1,2,1,3,3,0
63,1,4,1,1,0,0,0,1,3,4,4
64,1,5,0,0,0,0,0,1,3,4,4
65,1,4,1,0,0,0,5,1,0,3,3
66,1,2,0,0,0,0,0,0,0,0,0
67,1,2,1,1,0,0,0,0,0,3,2
68,0,3,1,1,0,0,0,0,0,3,4
69,1,2,0,1,0,1,0,0,2,2,1
70,0,3,1,1,1,1,0,0,0,3,0
71,1,4,1,0,1,0,5,0,2,3,1
72,1,4,1,0,0,1,1,1,1,3,3
73,1,4,1,0,1,0,5,0,2,3,1
74,1,3,1,0,0,1,5,1,0,4,3
75,1,2,0,0,1,0,0,1,0,0,0
76,1,2,0,1,1,0,0,1,0,0,0
77,1,4,1,0,1,0,0,1,3,4,4
78,0,5,0,0,1,0,0,1,3,0,4
79,1,4,2,0,1,1,2,1,3,3,0
80,1,2,0,0,1,0,0,0,3,2,0
81,0,5,0,1,1,0,0,1,3,0,4
82,1,4,1,1,1,0,0,0,3,4,0
83,1,2,0,1,0,0,3,0,2,2,1
84,1,4,1,1,0,0,0,0,3,4,1
85,1,2,0,0,1,0,0,1,0,0,0
86,1,2,1,0,1,0,0,1,0,3,2
87,1,4,1,0,0,1,5,0,2,3,1
88,1,2,0,1,1,0,3,1,3,0,3
89,1,2,0,1,1,0,3,1,2,2,3
90,0,4,0,1,1,1,2,0,2,2,0
91,0,3,2,0,0,1,4,0,3,3,4
92,0,5,0,0,1,0,5,1,2,3,2
93,0,5,0,1,0,0,5,0,4,0,2
94,1,5,0,0,1,0,0,0,3,0,4
95,1,3,3,1,1,1,0,1,0,3,0
96,0,3,1,0,1,0,0,1,0,3,1
97,0,5,0,0,1,0,0,1,3,0,1
98,1,3,2,0,0,1,5,1,0,1,3
99,1,2,0,1,1,0,3,1,0,0,0
100,1,5,0,0,1,0,0,1,3,4,4
101,1,2,0,1,0,1,0,0,2,2,3
102,1,3,2,0,1,1,0,1,2,1,2
103,1,3,0,0,0,0,1,1,3,0,1
104,1,4,1,1,1,1,4,1,2,3,2
105,1,2,0,1,1,0,3,1,2,2,3
106,1,3,1,0,0,0,1,1,3,3,4
107,1,4,1,0,0,1,4,0,3,3,3
108,1,3,2,1,1,0,5,1,0,1,1
109,1,2,0,0,0,0,0,1,0,0,0
110,1,2,0,0,1,0,3,0,4,2,3
111,1,4,2,0,1,1,2,0,3,3,4
112,1,4,1,1,1,0,0,1,3,4,4
113,0,2,1,1,0,1,0,1,0,3,1
114,0,5,0,1,1,0,0,0,3,0,1
115,1,4,2,1,0,1,5,1,3,3,4
116,0,3,0,1,1,1,3,0,2,2,0
117,0,5,0,0,1,0,5,1,2,3,2
118,1,4,1,1,0,0,0,0,3,4,1
119,1,4,1,1,0,0,0,1,3,4,4
120,1,2,0,1,0,1,0,0,2,2,3
121,1,2,0,1,0,0,0,1,0,0,0
122,0,3,1,1,0,0,0,1,0,3,4
123,1,4,1,0,1,1,5,1,2,3,2
124,1,3,3,1,1,1,5,0,1,1,0
125,1,3,1,0,0,0,5,1,1,1,4
126,1,4,3,1,1,1,4,0,3,1,0
127,1,2,1,0,0,1,5,1,0,4,3
128,1,4,1,1,1,0,0,0,3,4,1
129,0,3,1,1,0,1,0,1,0,3,2
130,1,4,1,1,1,0,0,0,3,4,0
131,1,3,1,0,1,0,5,1,2,3,4
132,1,4,1,0,1,0,5,1,2,3,4
133,1,5,1,0,1,0,0,1,1,1,1
134,0,5,0,0,0,0,0,1,3,0,1
135,1,4,1,1,1,1,4,1,2,3,2
136,1,3,0,0,0,0,1,1,1,4,1
137,0,3,0,1,1,0,3,1,0,3,0
138,0,2,0,1,0,0,1,0,2,3,1
139,1,3,1,1,0,0,1,0,3,4,0
140,0,3,1,1,1,0,0,0,0,3,4
141,1,4,2,1,0,1,5,1,3,3,4
142,1,5,1,1,0,0,5,1,1,1,4
143,1,3,0,1,0,0,3,1,0,0,0
144,1,4,2,0,1,1,2,1,3,3,4
145,1,3,2,0,1,1,0,1,2,1,2
146,1,3,1,1,0,0,1,0,3,4,4
147,1,4,2,1,0,1,3,1,3,3,4
148,1,2,1,0,1,0,5,1,1,3,0
149,1,5,0,0,0,0,0,1,0,1,0
150,1,3,0,0,1,0,2,1,0,0,0
151,1,5,0,1,0,1,5,1,4,4,2
152,1,4,2,0,0,1,3,1,3,3,4
153,1,4,1,1,1,0,0,1,2,4,4
154,0,5,0,0,1,0,0,1,3,4,4
155,1,4,1,1,0,0,0,0,2,3,1
156,1,5,0,0,1,0,0,0,0,1,0
157,1,5,0,0,0,0,0,0,0,1,0
158,1,5,1,0,1,1,5,1,3,3,2
159,1,3,0,0,0,0,2,1,0,0,0
160,1,5,0,0,1,0,0,0,0,1,0
161,0,5,0,0,0,0,0,1,2,4,1
162,0,5,0,0,0,0,0,1,2,4,4
163,1,3,0,1,0,0,4,0,2,2,1
164,1,3,1,1,0,0,5,0,1,3,0
165,1,2,1,0,0,0,0,1,1,1,0
166,1,4,1,0,0,0,0,1,0,3,4
167,1,4,1,1,0,0,0,1,2,4,4
168,1,3,2,1,0,1,0,1,4,1,0
169,1,5,3,0,0,1,4,0,3,3,2
170,1,3,1,0,0,1,0,1,0,3,0
171,1,3,1,1,0,1,5,1,0,4,3
172,0,5,0,0,0,0,0,1,3,4,4
173,1,3,3,1,0,0,0,0,1,1,0
174,1,3,1,1,1,0,0,0,3,4,0
175,1,4,1,1,0,0,0,0,3,4,0
176,0,5,0,0,0,0,0,0,2,4,1
177,1,2,0,1,0,0,5,0,2,4,0
178,1,5,0,1,0,0,5,0,4,0,2
179,1,3,1,1,0,0,0,0,0,3,0
180,1,3,2,1,0,1,0,1,4,3,2
181,1,3,0,1,0,0,4,0,4,2,1
182,1,5,2,0,0,1,4,1,3,1,2
183,1,2,0,0,1,1,4,1,0,4,1
184,0,5,0,0,0,1,0,1,4,0,1
185,1,3,1,1,0,0,5,0,1,3,0
186,1,4,1,1,0,0,0,1,2,4,4
187,0,5,0,0,0,1,0,1,4,0,1
188,0,5,0,0,0,0,0,1,2,4,4
189,1,5,1,1,0,1,5,0,0,1,3
190,1,3,2,1,1,1,5,0,1,1,1
191,1,4,1,1,0,0,0,1,0,3,4
192,1,5,1,1,0,0,0,0,1,1,0
193,0,5,0,0,0,1,0,1,4,0,4
194,0,5,0,0,1,0,0,1,3,0,4
195,1,5,1,0,1,1,5,0,3,3,3
196,1,2,1,0,0,0,5,1,1,3,0
197,1,2,1,0,1,0,5,0,0,1,0
198,1,4,1,0,1,0,0,1,0,3,0
199,1,4,1,0,1,0,0,0,2,4,1
200,1,3,1,0,1,0,1,1,1,3,3
201,1,4,1,1,1,1,5,0,0,1,3
202,1,3,0,0,1,1,4,1,0,4,0
203,1,3,0,0,0,0,2,1,1,0,0
204,1,3,1,0,0,0,5,1,1,3,3
205,1,4,1,0,0,0,0,1,3,4,4
206,1,5,1,1,1,1,5,0,0,1,3
207,1,2,1,1,0,1,5,0,0,4,0
208,0,5,0,0,1,0,0,1,2,4,4
209,1,4,2,0,0,1,0,1,1,1,4
210,1,4,0,1,1,0,0,0,0,1,0
211,1,5,0,1,1,0,5,0,4,0,1
212,1,3,0,0,1,0,2,1,0,0,0
213,1,5,0,0,0,0,2,1,3,2,0
214,1,3,1,1,1,0,5,1,0,1,1
215,1,4,1,1,1,1,5,0,0,1,3
216,0,4,3,1,0,1,4,0,0,1,0
217,1,3,2,0,0,1,5,1,1,1,1
218,0,4,1,1,0,1,5,0,0,1,3
219,1,4,1,1,1,0,0,0,2,4,1
220,1,3,2,0,1,1,0,1,4,3,2
221,1,5,0,0,0,0,0,0,3,0,4
222,1,5,0,0,0,0,5,0,3,3,1
223,1,4,1,0,1,1,1,0,2,3,3
224,1,3,1,1,0,0,5,1,3,4,4
225,1,5,0,1,1,0,5,1,2,3,2
226,0,5,0,0,1,0,0,1,2,4,4
227,1,5,1,1,1,1,5,0,3,3,3
228,1,2,1,0,0,0,5,1,3,4,4
229,1,5,1,1,1,1,5,0,0,1,3
230,1,3,1,0,0,0,5,1,1,3,3
231,1,3,0,0,0,0,2,1,0,0,0
232,1,3,1,1,1,0,5,0,1,3,0
233,1,4,1,0,0,0,1,1,3,4,0
234,1,5,0,0,0,0,0,1,0,1,0
235,1,2,0,0,0,0,0,0,3,2,0
236,1,5,0,1,1,0,5,0,3,3,1
237,1,3,1,1,0,1,5,0,0,4,2
238,1,2,0,0,0,1,4,1,0,4,1
239,1,5,0,1,0,0,2,1,3,2,1
240,0,5,0,1,0,0,0,0,3,0,4
241,1,4,0,1,1,0,0,1,3,0,4
242,1,2,1,1,0,0,5,1,3,4,4
243,1,3,0,1,1,0,4,0,4,2,1
244,0,4,2,1,0,1,4,0,3,3,0
245,1,3,1,1,1,1,5,1,0,1,1
246,0,5,1,0,1,1,5,1,3,3,3
247,1,2,1,1,0,0,0,0,0,3,0
248,1,5,0,1,1,0,0,1,3,0,4
249,0,5,0,0,0,0,0,1,2,4,1
250,1,2,0,1,0,0,1,0,2,4,0
251,0,3,1,1,0,0,1,1,0,3,3
252,1,4,1,1,0,0,0,0,2,3,1
253,1,3,1,1,0,0,0,0,0,1,4
254,1,2,1,1,1,0,0,1,1,1,0
255,1,4,1,0,1,0,1,1,3,4,0
256,1,2,1,1,0,0,0,1,1,1,0
257,0,5,0,0,1,0,0,1,2,4,4
258,1,4,1,0,1,1,3,0,2,3,3
259,1,3,1,1,0,0,4,0,1,4,0
260,0,4,3,0,0,1,4,1,3,3,0
261,1,3,1,0,1,0,0,1,3,4,0
262,1,3,1,0,0,0,0,1,3,4,0
263,1,4,1,1,1,0,0,1,0,3,3
264,1,3,1,0,1,0,0,1,1,1,0
265,1,5,1,1,1,0,0,0,1,1,1
266,0,5,1,0,0,0,5,1,0,1,2
267,1,3,0,1,0,1,3,1,2,2,0
268,0,3,1,0,1,0,0,1,1,1,1
269,1,5,0,0,1,0,0,0,0,1,0
270,1,2,0,0,1,1,4,1,0,4,0
271,1,2,0,0,0,1,4,1,0,4,0
272,1,3,0,1,0,0,4,0,4,2,1
273,0,3,0,0,0,0,3,0,0,3,0
274,1,3,1,1,0,0,5,1,1,3,3
275,0,5,1,1,0,1,5,0,0,1,3
276,1,5,0,0,1,0,0,1,0,1,0
277,1,3,0,1,0,0,2,1,3,2,1
278,1,3,1,0,0,1,0,1,1,1,0
279,1,2,0,1,0,1,4,1,3,0,1
280,1,3,2,0,1,1,0,1,2,1,2
281,1,3,0,1,0,1,2,1,2,2,0
282,1,3,0,0,0,0,2,1,0,0,0
283,1,4,0,1,1,0,2,1,0,0,0
284,1,3,1,1,0,0,2,1,1,4,0
285,1,3,1,1,0,1,5,1,0,4,3
286,0,5,0,0,0,0,0,1,3,4,4
287,1,4,1,1,0,0,0,0,3,4,0
288,1,5,1,0,1,0,0,0,1,1,1
289,1,3,1,1,1,0,5,1,3,4,4
290,1,5,1,1,0,1,5,0,3,3,3
291,0,4,3,0,0,1,4,1,3,3,4
292,1,3,1,1,1,1,1,1,0,1,1
293,1,3,1,1,1,0,5,1,1,3,3
294,0,5,1,1,1,0,5,1,0,1,2
295,1,3,2,0,0,0,0,0,1,1,0
296,1,4,0,0,0,0,2,1,1,0,0
297,0,3,0,1,1,0,3,0,0,3,0
298,0,4,1,1,1,1,1,0,1,3,0
299,1,3,2,1,0,0,0,0,1,1,1
300,1,4,1,0,1,0,0,0,2,4,1
301,0,5,0,0,1,1,0,1,4,0,1
302,1,4,0,0,1,0,4,1,0,4,0
303,1,3,1,1,0,0,5,0,0,3,0
304,1,5,1,0,1,0,1,1,1,1,4
305,1,4,1,1,0,0,0,0,0,3,0
306,1,3,0,0,1,0,4,1,0,0,1
307,1,3,0,1,1,1,4,1,2,2,0
308,1,4,0,0,0,0,3,1,1,0,0
309,1,3,0,1,1,1,2,1,2,2,0
310,1,2,0,1,1,0,1,0,2,4,1
311,1,2,1,1,1,0,5,0,3,3,1
312,1,3,1,1,0,0,0,1,0,3,4
313,1,4,1,1,0,0,0,1,0,3,4
314,1,4,1,0,1,0,0,1,3,4,0
315,1,3,1,1,1,0,0,0,0,3,0
316,1,3,1,0,1,0,5,1,3,4,3
317,1,2,2,0,1,1,0,1,3,1,2
318,1,4,1,0,0,0,0,1,3,4,0
319,1,2,0,1,1,0,0,1,3,2,1
320,0,4,0,0,0,0,4,1,0,2,0
321,1,4,1,0,0,0,5,1,3,4,3
322,1,3,1,0,0,0,5,1,3,4,3
323,1,3,1,1,1,0,5,0,3,3,0
324,0,4,1,0,1,1,5,1,3,3,3
325,1,2,2,1,1,0,0,1,1,1,1
326,1,5,0,0,0,0,2,0,2,2,0
327,1,4,1,0,1,0,5,1,3,4,0
328,1,4,1,0,0,0,5,1,3,4,0
329,1,3,0,0,0,0,4,1,0,0,0
330,1,3,1,0,1,0,5,1,3,4,3
331,1,4,1,1,0,1,5,1,1,3,2
332,1,2,0,0,1,0,5,1,3,4,4
333,1,2,2,0,1,0,0,1,1,1,3
334,1,3,0,1,1,0,5,0,0,3,0
335,1,3,1,0,0,0,0,1,0,3,0
336,1,2,0,0,1,0,3,1,1,2,0
337,1,3,1,1,1,0,5,0,3,4,0
338,1,4,1,0,0,0,5,1,3,4,3
339,1,2,0,0,0,0,5,1,3,4,4
340,1,3,1,1,0,0,5,1,1,3,0
341,1,3,0,1,1,1,4,1,2,2,0
342,1,2,1,1,0,0,0,0,0,3,4
343,1,3,1,1,1,0,0,1,0,3,2
344,1,4,0,0,0,0,3,1,0,2,0
345,0,4,0,0,1,0,4,1,0,2,0
346,1,2,1,1,0,0,5,1,3,4,4
347,0,4,1,0,0,1,5,1,3,3,3
348,0,4,1,0,1,0,0,1,3,4,1
349,1,3,1,0,0,0,0,1,0,3,3
350,1,3,1,1,0,0,0,1,0,3,4
351,1,4,1,1,1,0,5,1,0,3,3
352,1,3,1,0,1,0,0,1,0,3,2
353,1,2,1,0,0,1,0,1,0,3,3
354,0,5,1,0,1,1,5,0,3,3,3
355,1,2,1,1,0,0,0,0,0,3,0
356,1,3,0,1,1,1,4,1,3,0,1
357,1,3,0,1,1,1,4,1,3,0,1
358,0,3,1,0,1,0,0,1,3,4,4
359,1,3,2,0,0,1,0,1,4,3,2
360,1,3,0,1,1,1,2,1,2,2,0
361,1,4,1,0,0,0,5,1,3,4,0
362,1,3,1,0,0,0,0,1,0,3,3
363,1,3,2,0,1,1,0,1,4,3,2
364,1,3,1,0,1,0,0,1,0,3,3
365,1,2,1,0,0,0,5,1,3,4,4
366,1,3,1,1,1,1,5,0,0,4,0
367,1,2,2,0,0,1,0,1,4,1,2
368,1,3,2,1,0,0,0,0,1,1,0
369,1,5,0,1,1,0,3,1,3,2,1
370,1,4,1,0,0,0,5,1,0,3,3
371,1,3,1,0,1,1,5,1,0,4,3
372,1,3,0,1,1,0,5,0,0,3,3
373,1,3,1,0,1,1,0,1,0,3,3
374,0,4,3,0,0,1,4,1,2,3,4
375,1,4,1,0,1,0,5,1,3,4,0
376,0,5,1,1,0,1,5,1,0,1,2
377,1,3,2,0,1,1,0,0,2,1,2
378,1,3,0,0,1,0,4,1,0,0,0
379,1,3,1,1,0,0,5,0,0,3,0
380,1,3,1,0,0,0,5,1,3,4,3
381,1,5,0,0,1,0,0,1,0,1,4
382,1,4,1,1,1,0,0,1,0,3,3
383,1,3,1,1,1,0,5,0,3,4,3
384,1,2,1,0,1,0,2,1,1,4,0
385,1,3,1,1,1,1,5,0,0,4,4
386,1,4,1,0,1,0,1,0,4,4,1
387,1,3,1,1,0,1,5,1,0,4,3
388,0,4,1,0,1,0,0,1,3,4,4
389,1,2,2,0,0,1,0,1,4,3,2
390,1,3,2,0,1,1,0,1,4,3,2
391,1,2,0,0,1,1,4,1,0,4,1
392,1,4,0,0,0,1,5,1,2,4,3
393,1,3,0,1,0,0,4,0,2,2,3
394,1,3,0,1,0,1,3,0,3,2,0
395,0,3,0,1,0,1,3,1,3,0,0
396,0,4,0,0,0,0,4,1,1,0,0
397,0,5,1,0,0,1,5,1,3,3,3
398,1,2,2,0,1,1,0,1,3,1,2
399,1,2,0,0,1,0,3,1,0,0,1
400,1,4,1,0,1,0,0,0,3,4,0
401,1,2,0,1,1,0,4,0,4,2,1
402,1,3,1,0,0,0,5,1,3,4,3
403,1,5,1,0,0,0,1,1,1,1,1
404,1,4,1,1,0,0,5,1,1,3,3
405,1,3,2,1,1,0,0,1,1,1,3
406,1,4,1,1,0,0,0,0,0,3,0
407,1,4,0,0,1,0,3,1,0,2,0
408,1,5,2,0,0,1,2,0,0,1,4
409,1,3,1,1,0,0,5,1,0,3,3
410,1,3,1,0,0,0,5,1,3,4,3
411,1,2,1,0,0,0,0,1,0,3,0
412,1,4,1,0,0,0,0,1,3,4,0
413,1,2,0,1,0,0,0,1,3,2,1
414,1,3,0,0,1,0,3,1,0,2,0
415,1,2,1,0,0,0,0,1,0,3,2
416,1,3,2,0,1,1,0,0,3,1,2
417,1,2,0,0,1,1,4,1,0,4,1
418,1,4,1,1,1,0,5,1,3,4,3
419,1,3,1,1,0,0,5,1,1,3,3
420,1,3,0,0,1,1,4,1,0,0,3
421,1,2,1,0,1,0,5,1,3,4,4
422,1,2,1,1,1,0,5,0,2,3,1
423,1,2,1,0,0,0,5,1,1,3,0
424,1,2,1,0,1,0,0,1,0,3,2
425,1,3,0,0,0,0,3,1,1,2,0
426,1,5,2,0,1,1,2,1,0,1,4
427,1,3,1,0,1,0,5,1,3,4,0
428,1,4,1,1,0,0,5,0,1,3,0
429,1,4,1,0,0,0,1,1,4,4,4
430,1,5,0,0,0,0,4,1,0,0,0
431,1,3,1,0,0,1,0,1,0,3,0
432,1,3,1,0,1,1,0,1,0,3,3
433,1,2,0,0,1,0,0,1,3,2,3
434,1,2,0,1,1,0,0,1,0,0,0
435,1,3,0,0,1,0,2,1,0,3,0
436,1,4,0,0,1,0,4,1,0,4,0
437,1,3,1,1,0,1,5,0,0,4,0
438,1,3,0,1,0,1,4,1,2,2,0
439,1,2,0,0,0,1,4,1,0,4,0
440,1,3,0,0,0,1,3,1,3,2,1
441,1,3,1,1,1,1,5,0,0,4,4
442,1,3,1,0,1,1,5,1,0,3,3
443,1,3,2,0,1,1,0,1,2,1,2
444,1,2,1,0,0,0,0,1,1,1,0
445,1,3,2,1,1,0,0,0,1,1,0
446,1,3,1,0,0,0,0,1,0,3,3
447,1,3,1,1,0,0,0,1,0,3,4
448,1,4,2,1,0,1,4,0,3,3,0
449,1,4,1,1,1,0,5,0,2,3,1
450,1,2,0,1,0,0,3,1,1,0,0
451,0,4,1,1,0,0,0,0,2,4,1
452,1,4,0,1,1,0,3,1,3,2,3
453,0,4,1,1,1,0,0,1,3,4,4
454,1,2,0,1,0,0,0,0,3,2,0
455,1,4,0,0,1,0,5,1,2,0,3
456,1,2,0,0,0,0,0,1,0,0,0
457,1,2,0,1,0,0,0,0,3,2,0
458,1,4,1,1,0,0,5,0,0,3,0
459,1,3,2,1,1,1,5,1,3,3,4
460,1,4,1,1,1,0,0,1,2,4,4
461,0,3,0,0,1,0,4,1,0,2,0
462,1,4,1,0,0,1,5,1,2,3,2
463,1,5,0,0,0,0,4,1,0,0,0
464,0,5,0,0,1,1,5,0,4,4,3
465,0,3,1,0,1,0,0,1,3,4,4
466,1,2,1,0,1,0,0,1,0,3,2
467,1,2,1,0,0,0,0,1,0,3,2
468,1,5,1,0,1,0,0,1,1,1,4
469,0,4,1,0,1,1,5,0,4,4,3
470,1,3,1,1,0,1,5,1,0,4,4
471,1,2,0,1,1,0,0,1,0,0,0
472,1,4,2,0,1,1,4,1,3,3,4
473,1,4,1,0,0,0,5,1,0,3,3
474,1,3,1,0,0,0,5,1,1,3,0
475,1,2,0,0,1,1,0,1,2,2,3
476,1,2,0,1,1,0,4,1,1,0,0
477,1,2,2,1,1,1,5,0,0,1,0
478,1,3,3,0,0,1,5,1,0,1,0
479,1,4,1,1,1,0,5,1,2,3,4
480,1,4,1,1,0,0,5,0,1,1,1
481,1,3,1,1,1,0,5,1,1,3,3
482,1,3,1,1,0,1,5,1,0,4,3
483,0,3,2,0,0,0,0,1,1,1,0
484,0,4,1,0,1,0,0,1,0,3,0
485,1,4,1,1,0,0,0,1,2,4,4
486,1,2,0,0,1,0,0,1,0,0,0
487,1,2,0,0,0,0,4,1,1,2,0
488,1,3,0,1,1,0,4,1,1,0,0
489,1,3,0,0,1,1,2,1,0,4,0
490,1,3,3,0,1,1,5,1,0,1,0
491,1,4,2,0,0,1,5,1,3,3,4
492,0,3,1,0,0,1,0,1,0,3,1
493,1,2,0,0,1,1,0,1,2,2,3
494,1,4,0,1,1,0,0,1,4,0,4
495,1,2,0,0,0,0,0,1,0,0,0
496,1,4,0,0,1,0,4,1,0,0,0
497,1,3,2,0,1,1,5,1,3,3,3
498,1,2,1,1,1,0,0,1,0,3,2
499,1,4,2,0,1,1,0,1,0,1,3
500,1,2,0,1,0,1,0,0,2,2,1
501,1,3,0,1,0,1,2,0,0,0,1
502,1,2,0,1,1,0,4,1,0,0,0
503,1,4,2,1,0,1,4,0,3,3,0
504,0,3,0,1,0,0,2,1,0,3,0
505,1,3,2,0,1,1,5,1,3,3,3
506,0,5,1,0,1,1,5,1,4,4,3
507,0,4,3,0,1,0,0,1,1,1,0
508,1,2,0,1,0,1,0,0,2,2,3
509,1,4,3,0,1,1,4,0,3,3,2
510,0,5,0,0,1,0,4,1,1,0,0
511,1,3,2,1,0,1,5,1,2,3,4
512,1,4,1,1,1,0,5,0,1,1,1
513,1,5,1,0,0,0,5,1,1,1,4
514,1,4,0,0,1,0,5,1,3,0,1
515,0,4,1,0,1,0,0,1,0,3,4
516,1,2,0,1,0,1,0,0,2,2,1
517,1,2,0,1,1,0,0,1,0,0,0
518,1,5,1,0,1,0,0,1,1,1,0
519,1,2,0,1,0,0,0,1,3,2,3
520,1,2,0,0,1,0,0,1,2,2,0
521,0,3,0,1,1,0,2,0,0,3,0
522,1,4,1,1,0,0,5,0,3,3,0
523,1,2,0,1,1,0,5,0,2,4,0
524,0,5,1,0,1,1,5,0,4,4,3
525,1,3,1,0,0,0,5,1,1,3,0
526,1,2,0,0,1,0,0,1,0,0,0
527,1,3,1,0,1,0,5,0,3,3,3
528,1,4,0,0,0,0,5,1,3,0,1
529,1,3,2,1,0,0,0,0,1,1,0
530,1,3,0,1,0,0,2,0,4,2,1
531,0,5,1,0,0,0,1,1,0,1,1
532,1,4,1,0,0,0,5,1,2,3,4
533,1,4,1,1,1,0,5,0,3,3,3
534,1,3,0,1,1,0,5,0,3,3,1
535,0,4,1,1,0,0,0,0,2,3,1
536,0,2,1,1,0,0,0,1,0,3,4
537,1,2,0,1,0,0,0,0,0,0,0
538,1,4,1,1,0,0,5,1,2,3,4
539,1,4,0,0,0,0,5,1,2,0,3
540,0,4,1,1,0,0,0,1,3,4,4
541,1,5,2,0,1,1,2,1,3,1,2
542,1,2,0,1,1,0,5,0,2,4,0
543,1,3,0,1,1,0,5,1,0,3,3
544,0,4,1,1,0,0,0,0,2,4,1
545,1,2,0,1,0,0,0,1,0,0,0
546,1,2,0,1,1,0,0,1,0,0,0
547,1,5,1,0,1,0,0,1,1,1,4
548,1,4,1,0,1,0,0,1,2,4,4
549,1,4,2,1,1,1,2,1,2,1,2
550,1,3,0,1,0,1,2,1,3,0,0
551,1,4,0,0,1,0,5,1,3,0,1
552,1,2,0,1,0,1,0,0,2,2,1
553,1,4,1,1,0,0,0,1,3,4,4
554,1,3,0,0,1,0,2,1,1,0,0
555,1,4,0,0,0,0,4,1,3,2,3
556,1,3,1,1,0,0,5,0,1,3,0
557,1,4,0,0,1,0,5,1,2,0,3
558,1,2,0,1,1,0,0,1,3,2,0
559,1,2,0,1,1,0,0,1,3,2,1
560,1,3,1,1,0,0,4,1,1,4,0
561,1,4,1,1,1,0,5,1,2,3,4
562,1,3,1,0,0,0,5,1,1,4,1
563,1,2,0,1,1,1,5,1,3,0,1
564,1,4,1,0,0,0,1,1,3,4,3
565,0,4,1,1,1,0,0,1,2,3,4
566,1,2,0,1,0,0,0,0,2,2,1
567,1,5,2,1,1,1,4,0,2,1,0
568,1,4,0,0,0,1,3,1,2,2,3
569,1,5,1,1,0,0,1,1,1,1,4
570,1,3,1,0,1,0,5,1,1,3,0
571,1,5,0,0,1,0,0,0,3,0,4
572,1,3,0,1,1,1,2,1,3,0,0
573,1,5,0,0,0,0,0,0,3,0,1
